
pkt_len,ttl,proto,sport,dport,flags,label
201,32,6,63804,25,2,1
815,6,17,23932,4444,2,1
1326,36,6,62608,4444,2,1
313,2,6,61766,4444,32,1
1066,29,17,48490,22,1,1
1091,4,17,51249,4444,4,1
365,1,6,38976,22,2,1
979,19,6,36194,4444,4,1
1212,26,17,38687,22,2,1
579,25,17,57507,3389,2,1
527,10,17,45196,3389,2,1
861,15,6,62405,25,1,1
1128,22,6,48953,22,2,1
395,21,6,10367,23,4,1
1315,22,17,11661,25,2,1
274,36,6,35748,3389,1,1
266,34,6,40815,22,1,1
1376,30,17,30158,4444,2,1
88,25,6,47854,23,4,1
157,28,17,48125,3389,4,1
93,1,6,4931,25,4,1
604,4,6,34599,22,4,1
1107,7,6,58554,23,4,1
92,9,17,47823,22,2,1
597,36,6,5851,4444,4,1
1165,19,6,31631,25,2,1
907,1,17,63677,22,2,1
437,10,6,14723,3389,2,1
1201,36,6,38316,25,4,1
714,9,6,48985,3389,4,1
426,32,6,26907,22,2,1
150,32,6,50015,25,4,1
653,6,6,52460,3389,32,1
56,38,6,6337,4444,2,1
1245,17,6,14622,4444,2,1
923,10,6,46850,22,4,1
580,27,6,50933,25,2,1
210,35,6,29831,23,1,1
448,21,6,5911,25,2,1
779,25,6,4878,4444,2,1
1441,28,6,46250,3389,4,1
1251,15,6,60574,23,1,1
897,4,17,15560,22,4,1
269,29,6,4582,23,4,1
158,9,17,10796,22,4,1
1219,27,17,51137,23,1,1
823,26,6,54023,22,2,1
504,19,6,56902,22,1,1
143,28,6,37367,23,2,1
737,17,17,59243,23,4,1
214,20,6,36210,22,2,1
784,39,6,37990,4444,1,1
1484,23,6,34793,23,2,1
1197,32,17,55420,25,4,1
1454,33,17,61752,3389,4,1
704,5,6,40911,22,2,1
72,34,6,54242,22,4,1
94,11,6,20253,3389,2,1
558,3,6,10697,4444,1,1
795,33,17,28901,3389,4,1
51,11,6,59025,23,2,1
759,16,6,32625,3389,32,1
594,18,6,39108,22,2,1
412,30,17,17268,3389,2,1
523,10,17,28380,25,32,1
1012,18,6,17830,23,2,1
1291,38,17,24123,3389,32,1
662,19,6,45665,22,32,1
346,36,6,38058,23,2,1
496,13,6,41341,22,1,1
199,3,6,56492,4444,2,1
370,10,6,20118,25,2,1
815,38,17,58820,4444,2,1
264,1,6,11613,25,2,1
1022,27,6,58245,3389,2,1
768,8,6,60343,23,2,1
1108,17,6,2681,3389,32,1
1277,9,17,33788,25,4,1
1122,6,6,52717,25,4,1
683,25,6,40555,25,1,1
655,39,17,53251,22,4,1
234,28,6,4188,23,2,1
528,33,6,28566,3389,4,1
196,37,6,19461,3389,32,1
649,9,6,42271,4444,2,1
1289,18,17,39529,25,1,1
451,21,17,20625,25,4,1
1268,2,6,29454,25,32,1
1142,38,17,51623,3389,4,1
